code,context,function,category,severity,cwe,language,project_type,is_vulnerable,source
proc = subprocess.Popen(,"                        url, json_req)
    repeat_command = 'for n in {{1..3}}; do {} & sleep 1; done;'.format(
        exec_command)
    proc = subprocess.Popen(
        repeat_command,
        shell=True,
        stdout=subprocess.PIPE,",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:TensorFlow Serving
"shell=True,","        exec_command)
    proc = subprocess.Popen(
        repeat_command,
        shell=True,
        stdout=subprocess.PIPE,
        stderr=subprocess.PIPE)
",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:TensorFlow Serving
"MODEL_URL_PATTERN = re.compile(r""https://download[.]pytorch[.]org/models/.+?[.]pth"")","import re
import sys

MODEL_URL_PATTERN = re.compile(r""https://download[.]pytorch[.]org/models/.+?[.]pth"")


def main(*roots):",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"p = subprocess.Popen(command, stdout=subprocess.PIPE, stderr=subprocess.PIPE, shell=True)","
def run(command):
    """"""Returns (return-code, stdout, stderr)""""""
    p = subprocess.Popen(command, stdout=subprocess.PIPE, stderr=subprocess.PIPE, shell=True)
    output, err = p.communicate()
    rc = p.returncode
    enc = locale.getpreferredencoding()",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:TorchVision
"p = subprocess.Popen(command, stdout=subprocess.PIPE, stderr=subprocess.PIPE, shell=True)","
def run(command):
    """"""Returns (return-code, stdout, stderr)""""""
    p = subprocess.Popen(command, stdout=subprocess.PIPE, stderr=subprocess.PIPE, shell=True)
    output, err = p.communicate()
    rc = p.returncode
    enc = locale.getpreferredencoding()",command_injection,ML-command_injection,HIGH,CWE-78,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"    rpn_pre_nms_top_n_test=150,
)

model.eval()
script_model = torch.jit.script(model)
opt_script_model = optimize_for_mobile(script_model)
opt_script_model.save(""app/src/main/assets/frcnn_mnetv3.pt"")",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"    rpn_pre_nms_top_n_test=150,
)

model.eval()
script_model = torch.jit.script(model)
opt_script_model = optimize_for_mobile(script_model)
opt_script_model.save(""VisionTestApp/frcnn_mnetv3.pt"")",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"self.keys = pickle.load(open(cache_file, ""rb""))","            self.length = txn.stat()[""entries""]
        cache_file = ""_cache_"" + """".join(c for c in root if c in string.ascii_letters)
        if os.path.isfile(cache_file):
            self.keys = pickle.load(open(cache_file, ""rb""))
        else:
            with self.env.begin(write=False) as txn:
                self.keys = [key for key in txn.cursor().iternext(keys=True, values=False)]",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"return torch.load(file, weights_only=True)","    file = os.path.join(root, file)

    if check_integrity(file):
        return torch.load(file, weights_only=True)
    else:
        msg = (
            ""The meta file {} is not present in the root directory or is corrupted. """,torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"data = pickle.load(infile, encoding=""latin1"")","        if not check_integrity(path, self.meta[""md5""]):
            raise RuntimeError(""Dataset metadata file not found or corrupted. You can use download=True to download it"")
        with open(path, ""rb"") as infile:
            data = pickle.load(infile, encoding=""latin1"")
            self.classes = data[self.meta[""key""]]
        self.class_to_idx = {_class: i for i, _class in enumerate(self.classes)}
",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"entry = pickle.load(f, encoding=""latin1"")","        for file_name, checksum in downloaded_list:
            file_path = os.path.join(self.root, self.base_folder, file_name)
            with open(file_path, ""rb"") as f:
                entry = pickle.load(f, encoding=""latin1"")
                self.data.append(entry[""data""])
                if ""labels"" in entry:
                    self.targets.extend(entry[""labels""])",pickle.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"entry = pickle.load(f, encoding=""latin1"")","        for file_name, checksum in downloaded_list:
            file_path = os.path.join(self.root, self.base_folder, file_name)
            with open(file_path, ""rb"") as f:
                entry = pickle.load(f, encoding=""latin1"")
                self.data.append(entry[""data""])
                if ""labels"" in entry:
                    self.targets.extend(entry[""labels""])",pickle_load,ML-pickle_load,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"data = pickle.load(infile, encoding=""latin1"")","        if not check_integrity(path, self.meta[""md5""]):
            raise RuntimeError(""Dataset metadata file not found or corrupted. You can use download=True to download it"")
        with open(path, ""rb"") as infile:
            data = pickle.load(infile, encoding=""latin1"")
            self.classes = data[self.meta[""key""]]
        self.class_to_idx = {_class: i for i, _class in enumerate(self.classes)}
",pickle_load,ML-pickle_load,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"self.data, self.labels, self.matches = torch.load(self.data_file, weights_only=True)","            self.cache()

        # load the serialized data
        self.data, self.labels, self.matches = torch.load(self.data_file, weights_only=True)

    def __getitem__(self, index: int) -> Union[torch.Tensor, tuple[Any, Any, torch.Tensor]]:
        """"""",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
"return torch.load(os.path.join(self.processed_folder, data_file), weights_only=True)","        # This is for BC only. We no longer cache the data in a custom binary, but simply read from the raw data
        # directly.
        data_file = self.training_file if self.train else self.test_file
        return torch.load(os.path.join(self.processed_folder, data_file), weights_only=True)

    def _load_data(self):
        image_file = f""{'train' if self.train else 't10k'}-images-idx3-ubyte""",torch.load,Unsafe Deserialization,CRITICAL,CWE-502,Python,ML/AI,1,ML/AI:TorchVision
base_module = importlib.import_module(base_module_name),"        raise ValueError(f""Invalid weight name provided: '{name}'."")

    base_module_name = ""."".join(sys.modules[__name__].__name__.split(""."")[:-1])
    base_module = importlib.import_module(base_module_name)
    model_modules = [base_module] + [
        x[1]
        for x in inspect.getmembers(base_module, inspect.ismodule)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
pattern = re.compile(,"    # has keys 'norm.1', 'relu.1', 'conv.1', 'norm.2', 'relu.2', 'conv.2'.
    # They are also in the checkpoints in model_urls. This pattern is used
    # to find such keys.
    pattern = re.compile(
        r""^(.*denselayer\d+\.(?:norm|relu|conv))\.((?:[12])\.(?:weight|bias|running_mean|running_var))$""
    )
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"eval_tracer.trace(model.eval(), concrete_args=concrete_args)","    train_tracer = NodePathTracer(**tracer_kwargs)
    train_tracer.trace(model.train(), concrete_args=concrete_args)
    eval_tracer = NodePathTracer(**tracer_kwargs)
    eval_tracer.trace(model.eval(), concrete_args=concrete_args)
    train_nodes = list(train_tracer.node_to_qualname.values())
    eval_nodes = list(eval_tracer.node_to_qualname.values())
    if not suppress_diff_warning:",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
NOTE this should be safe when calling model.eval() because that just,"    def train(self, mode=True):
        """"""
        Swap out the graph depending on the selected training mode.
        NOTE this should be safe when calling model.eval() because that just
        calls this with mode == False.
        """"""
        # NOTE: Only set self.graph if the current graph is not the desired",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
model.eval(),"        if mode == ""train"":
            model.train()
        elif mode == ""eval"":
            model.eval()

        # Instantiate our NodePathTracer and use that to trace the model
        tracer = NodePathTracer(**tracer_kwargs)",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
"compiled_fn = torch.compile(fn, **compile_kwargs)","    def decorate_fn(fn):
        @functools.wraps(fn)
        def compile_hook(*args, **kwargs):
            compiled_fn = torch.compile(fn, **compile_kwargs)
            globals()[fn.__name__] = functools.wraps(fn)(compiled_fn)
            return compiled_fn(*args, **kwargs)
",code_exec,ML-code_exec,CRITICAL,CWE-95,Python,ML/AI,1,ML/AI:TorchVision
