code,file_path,category,severity,cwe,confidence,language,project,is_vulnerable,context,code_length,has_exec,has_sql,has_memcpy,has_password,has_verify_false,is_test_file,is_config_file,context_length,context_has_bounds_check,severity_encoded,lang_C/C++,lang_Go,lang_JavaScript,lang_Python,cat_Buffer Overflow,cat_Command Injection,cat_Hardcoded Credentials,cat_Information Disclosure,cat_Insecure Data Transmission,cat_Insecure RPC,cat_Integer Overflow,cat_Path Traversal,cat_Private Key Exposure,cat_Race Condition,cat_SQL Injection,cat_Unchecked Return Value,cat_Use After Free,cat_Weak Cryptography
"memcpy((void *) (S->buf + left), (void *) data, fill);",src/crypto/blake256.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"void blake256_update(state *S, const uint8_t *data, uint64_t datalen) {
    int left = S->buflen >> 3;
    int fill = 64 - left;",54,0,0,1,0,0,0,0,128,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy((void *) (S->buf + left), (void *) data, datalen >> 3);",src/crypto/blake256.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"        data += 64;
        datalen -= 512;
    }",62,0,0,1,0,0,0,0,49,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( _temp + 1, word, OAES_COL_LEN - 1 );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	uint8_t _temp[OAES_COL_LEN];

	if( NULL == word )",44,0,0,1,0,0,0,0,50,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( word, _temp, OAES_COL_LEN );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	if( NULL == word )
		return OAES_RET_ARG1;
",36,0,0,1,0,0,0,0,44,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( _temp, word + 1, OAES_COL_LEN - 1 );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	uint8_t _temp[OAES_COL_LEN];

	if( NULL == word )",44,0,0,1,0,0,0,0,50,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( word, _temp, OAES_COL_LEN );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"			oaes_gf_mul( word[2], 0x03 ) ^ word[3];
	_temp[2] = word[0] ^ word[1] ^
			oaes_gf_mul( word[2], 0x02 ) ^ oaes_gf_mul( word[3], 0x03 );",36,0,0,1,0,0,0,0,138,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"memcpy( word, _temp, OAES_COL_LEN );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"			oaes_gf_mul( word[2], 0x0b ) ^ oaes_gf_mul( word[3], 0x0d );
	_temp[2] = oaes_gf_mul( word[0], 0x0d ) ^ oaes_gf_mul( word[1], 0x09 ) ^
			oaes_gf_mul( word[2], 0x0e ) ^ oaes_gf_mul( word[3], 0x0b );",36,0,0,1,0,0,0,0,201,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OAES_RET oaes_sprintf(,src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	memcpy( word, _temp, OAES_COL_LEN );

	return OAES_RET_SUCCESS;",22,0,0,1,0,0,0,0,64,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"strcpy( buf, """" );",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"		return OAES_RET_BUF;

	if( NULL == data )",18,0,0,1,0,0,0,0,43,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
"sprintf( buf, ""%04d%02d%02d%02d%02d%02d%03d%p%d"",",src/crypto/oaes_lib.c,Buffer Overflow,CRITICAL,CWE-120,0.9,C/C++,Electroneum,1,"	char * _test = NULL;

	ftime (&timer);",49,0,0,1,0,0,0,0,39,0,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
