id,vulnerability_type,severity_level,protocol,contract_type,code_snippet,bounty_amount,description,line_count,function_count,external_calls,require_statements,has_payable,has_external,uses_msg_sender,uses_block_timestamp,code_length
sc_reentrancy_1,reentrancy,Critical,Curve,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",253485.64,Critical reentrancy in Curve Vault,7,1,0,2,0,1,1,0,209
sc_reentrancy_2,reentrancy,Critical,Curve,Proxy,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",79297.66,Critical reentrancy in Curve Proxy,7,1,0,2,0,1,1,0,209
sc_reentrancy_3,reentrancy,Critical,SushiSwap,Governor,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",182749.33,Critical reentrancy in SushiSwap Governor,7,1,0,2,0,1,1,0,209
sc_reentrancy_4,reentrancy,Critical,MakerDAO,Governor,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",222755.59,Critical reentrancy in MakerDAO Governor,7,1,0,2,0,1,1,0,209
sc_reentrancy_5,reentrancy,Critical,SushiSwap,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",223666.78,Critical reentrancy in SushiSwap ERC20,7,1,0,2,0,1,1,0,209
sc_reentrancy_6,reentrancy,Critical,Uniswap,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",176779.21,Critical reentrancy in Uniswap ERC20,7,1,0,2,0,1,1,0,209
sc_reentrancy_7,reentrancy,Critical,Aave,Proxy,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",239079.39,Critical reentrancy in Aave Proxy,7,1,0,2,0,1,1,0,209
sc_reentrancy_8,reentrancy,Critical,Curve,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",235406.98,Critical reentrancy in Curve ERC20,7,1,0,2,0,1,1,0,209
sc_reentrancy_9,reentrancy,Critical,Uniswap,Proxy,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",242888.29,Critical reentrancy in Uniswap Proxy,7,1,0,2,0,1,1,0,209
sc_reentrancy_10,reentrancy,Critical,Curve,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",151987.97,Critical reentrancy in Curve ERC20,7,1,0,2,0,1,1,0,209
