id,vulnerability_type,severity_level,protocol,contract_type,code_snippet,bounty_amount,line_count,complexity_score,severity_score,function_count,modifier_count,external_calls,state_variables,description,cve_equivalent,gas_complexity,audit_status
sc_1,reentrancy,Critical,dYdX,Governor,"// Additional comment for variation

function withdraw(uint256 amount) public {
    require(balances[msg.sender] >= amount, ""Insufficient balance"");

    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");

    balances[msg.sender] -= amount;
    totalSupply -= amount;
}

mapping(address => uint256) public balances;
uint256 public totalSupply;
            ",92853.46,15,0.3,1.0,1,0,0,1,Critical reentrancy vulnerability in dYdX Governor contract,9.5,0.7218105175064373,unaudited
sc_2,timestamp_dependence,Medium,Balancer,Router,"event VulnerabilityTriggered(address indexed user, uint256 value);

function claimReward() public {
    require(block.timestamp > lastClaimTime[msg.sender] + 1 days, ""Too early"");
    require(rewardPool > 0, ""No rewards available"");

    uint256 reward = calculateReward(msg.sender);
    lastClaimTime[msg.sender] = block.timestamp;

    payable(msg.sender).transfer(reward);
}

mapping(address => uint256) public lastClaimTime;
uint256 public rewardPool;
            ",14228.3,15,0.3,0.6,1,0,1,1,Medium timestamp_dependence vulnerability in Balancer Router contract,4.1,0.6440866640040724,unaudited
sc_3,front_running,Medium,Synthetix,Staking,"// Additional comment for variation

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",64948.81,12,0.24,0.6,2,0,0,0,Medium front_running vulnerability in Synthetix Staking contract,6.8,0.31527972295973805,audited
sc_4,delegatecall_injection,Critical,Curve,Bridge,"uint256 constant MULTIPLIER = 1000;

function upgrade(address newImplementation) public onlyOwner {
    implementation = newImplementation;
}

fallback() external payable {
    address impl = implementation;
    assembly {
        calldatacopy(0, 0, calldatasize())
        let result := delegatecall(gas(), impl, 0, calldatasize(), 0, 0)
        returndatacopy(0, 0, returndatasize())

        switch result
        case 0 { revert(0, returndatasize()) }
        default { return(0, returndatasize()) }
    }
}

address public implementation;
            ",91776.54,21,0.42,1.0,1,0,0,1,Critical delegatecall_injection vulnerability in Curve Bridge contract,9.8,0.7859511491126937,audited
sc_5,front_running,Medium,Frax,ERC20,"uint256 constant MULTIPLIER = 1000;

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",18776.36,12,0.24,0.6,2,0,0,0,Medium front_running vulnerability in Frax ERC20 contract,5.3,0.5410880135655469,unaudited
sc_6,uninitialized_storage,High,MakerDAO,Staking,"event VulnerabilityTriggered(address indexed user, uint256 value);

function processArray(uint256[] memory data) public {
    uint256[] storage localArray;

    for (uint i = 0; i < data.length; i++) {
        localArray.push(data[i]);
    }

    emit ArrayProcessed(localArray.length);
}

uint256[] public storedData;
            ",179726.48,14,0.28,0.8,1,0,0,0,High uninitialized_storage vulnerability in MakerDAO Staking contract,8.4,0.8357478148649593,audited
sc_7,short_address,Medium,Aave,ERC1155,"// Additional comment for variation

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",238432.68,12,0.24,0.6,2,0,0,0,Medium short_address vulnerability in Aave ERC1155 contract,4.4,0.1388580628346216,audited
sc_8,reentrancy,Critical,Frax,Vault,"address public immutable FACTORY;

function withdraw(uint256 amount) public {
    require(balances[msg.sender] >= amount, ""Insufficient balance"");

    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");

    balances[msg.sender] -= amount;
    totalSupply -= amount;
}

mapping(address => uint256) public balances;
uint256 public totalSupply;
            ",78800.01,15,0.3,1.0,1,0,0,2,Critical reentrancy vulnerability in Frax Vault contract,9.1,0.5040628128986523,audited
sc_9,dos_gas_limit,Medium,Aave,Bridge,"address public immutable FACTORY;

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",253375.3,12,0.24,0.6,2,0,0,1,Medium dos_gas_limit vulnerability in Aave Bridge contract,5.7,0.7819639835837511,audited
sc_10,dos_gas_limit,Medium,dYdX,Governor,"modifier whenNotPaused() { require(!paused, ""Paused""); _; }

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",31034.04,12,0.24,0.6,2,1,0,0,Medium dos_gas_limit vulnerability in dYdX Governor contract,6.7,0.8444165664825061,audited
sc_11,timestamp_dependence,Medium,Euler,Lending,"event VulnerabilityTriggered(address indexed user, uint256 value);

function claimReward() public {
    require(block.timestamp > lastClaimTime[msg.sender] + 1 days, ""Too early"");
    require(rewardPool > 0, ""No rewards available"");

    uint256 reward = calculateReward(msg.sender);
    lastClaimTime[msg.sender] = block.timestamp;

    payable(msg.sender).transfer(reward);
}

mapping(address => uint256) public lastClaimTime;
uint256 public rewardPool;
            ",38880.74,15,0.3,0.6,1,0,1,1,Medium timestamp_dependence vulnerability in Euler Lending contract,4.7,0.30384088040854096,unaudited
sc_12,unchecked_call,Medium,Uniswap,ERC721,"event VulnerabilityTriggered(address indexed user, uint256 value);

function executeTransaction(address target, bytes memory data) public onlyOwner {
    target.call(data);
    emit TransactionExecuted(target, data);
}

modifier onlyOwner() {
    require(msg.sender == owner, ""Not owner"");
    _;
}
            ",272199.35,12,0.24,0.6,1,1,1,0,Medium unchecked_call vulnerability in Uniswap ERC721 contract,6.2,0.6635993696717682,audited
sc_13,tx_origin,Medium,Convex,Lending,"// Additional comment for variation

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",33793.61,12,0.24,0.6,2,0,0,0,Medium tx_origin vulnerability in Convex Lending contract,4.5,0.38691130738758217,audited
sc_14,uninitialized_storage,High,SushiSwap,Farming,"modifier whenNotPaused() { require(!paused, ""Paused""); _; }

function processArray(uint256[] memory data) public {
    uint256[] storage localArray;

    for (uint i = 0; i < data.length; i++) {
        localArray.push(data[i]);
    }

    emit ArrayProcessed(localArray.length);
}

uint256[] public storedData;
            ",37699.92,14,0.28,0.8,1,1,0,0,High uninitialized_storage vulnerability in SushiSwap Farming contract,7.9,0.9517258237138967,audited
sc_15,reentrancy,Critical,Compound,Farming,"address public immutable FACTORY;

function withdraw(uint256 amount) public {
    require(balances[msg.sender] >= amount, ""Insufficient balance"");

    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");

    balances[msg.sender] -= amount;
    totalSupply -= amount;
}

mapping(address => uint256) public balances;
uint256 public totalSupply;
            ",403548.9,15,0.3,1.0,1,0,0,2,Critical reentrancy vulnerability in Compound Farming contract,9.4,0.9844529773779082,audited
sc_16,front_running,Medium,Aave,Farming,"uint256 constant MULTIPLIER = 1000;

function vulnerableFunction() public {
    // Generic vulnerable function
    require(msg.sender != address(0), ""Invalid sender"");

    uint256 value = someCalculation();
    balances[msg.sender] += value;
}

mapping(address => uint256) public balances;
        ",94782.37,12,0.24,0.6,2,0,0,0,Medium front_running vulnerability in Aave Farming contract,5.7,0.5314051239743712,audited
sc_17,random_weakness,High,Balancer,Router,"event VulnerabilityTriggered(address indexed user, uint256 value);

function generateRandom() public view returns (uint256) {
    return uint256(keccak256(abi.encodePacked(
        block.timestamp,
        block.difficulty,
        msg.sender
    ))) % 100;
}

function lottery() public payable {
    require(msg.value >= 0.1 ether, ""Minimum bet required"");

    uint256 random = generateRandom();
    if (random < 50) {
        payable(msg.sender).transfer(msg.value * 2);
    }
}
            ",86470.0,19,0.38,0.8,2,0,1,0,High random_weakness vulnerability in Balancer Router contract,7.0,0.8573496860067761,unaudited
sc_18,timestamp_dependence,Medium,Curve,Governor,"event VulnerabilityTriggered(address indexed user, uint256 value);

function claimReward() public {
    require(block.timestamp > lastClaimTime[msg.sender] + 1 days, ""Too early"");
    require(rewardPool > 0, ""No rewards available"");

    uint256 reward = calculateReward(msg.sender);
    lastClaimTime[msg.sender] = block.timestamp;

    payable(msg.sender).transfer(reward);
}

mapping(address => uint256) public lastClaimTime;
uint256 public rewardPool;
            ",69743.55,15,0.3,0.6,1,0,1,1,Medium timestamp_dependence vulnerability in Curve Governor contract,6.3,0.7613481680618764,audited
sc_19,reentrancy,Critical,Aave,Factory,"// Additional comment for variation

function withdraw(uint256 amount) public {
    require(balances[msg.sender] >= amount, ""Insufficient balance"");

    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");

    balances[msg.sender] -= amount;
    totalSupply -= amount;
}

mapping(address => uint256) public balances;
uint256 public totalSupply;
            ",351685.93,15,0.3,1.0,1,0,0,1,Critical reentrancy vulnerability in Aave Factory contract,9.8,0.42187760709288924,audited
sc_20,reentrancy,Critical,MakerDAO,ERC721,"event VulnerabilityTriggered(address indexed user, uint256 value);

function withdraw(uint256 amount) public {
    require(balances[msg.sender] >= amount, ""Insufficient balance"");

    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success, ""Transfer failed"");

    balances[msg.sender] -= amount;
    totalSupply -= amount;
}

mapping(address => uint256) public balances;
uint256 public totalSupply;
            ",291268.59,15,0.3,1.0,1,0,0,1,Critical reentrancy vulnerability in MakerDAO ERC721 contract,9.5,0.9378860452516744,audited
