id,vulnerability_type,severity_level,protocol,contract_type,code_snippet,bounty_amount,description,cve_score,line_count,char_count,function_count,public_functions,external_functions,payable_functions,require_count,modifier_count,external_calls,delegatecall_usage,state_variables,mapping_count,onlyowner_usage,msg_sender_usage,arithmetic_ops,safemath_usage,timestamp_usage,block_usage,assembly_usage,low_level_calls,event_count,emit_count,fallback_function,receive_function,complexity
sc_reentrancy_1,reentrancy,Critical,Curve,Pool,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",615354.25,Critical reentrancy in Curve Pool,9.9,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_2,reentrancy,Critical,Compound,ERC20,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",1189565.63,Critical reentrancy in Compound ERC20,9.9,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_3,reentrancy,Critical,Yearn,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",489048.35,Critical reentrancy in Yearn ERC20,9.3,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_4,reentrancy,Critical,Yearn,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",257583.02,Critical reentrancy in Yearn ERC20,9.6,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_5,reentrancy,Critical,SushiSwap,Governor,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",194303.51,Critical reentrancy in SushiSwap Governor,9.6,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_6,reentrancy,Critical,Compound,Vault,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",248214.12,Critical reentrancy in Compound Vault,9.4,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_7,reentrancy,Critical,SushiSwap,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",612561.52,Critical reentrancy in SushiSwap Vault,9.8,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_8,reentrancy,Critical,Compound,DEX,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",282107.23,Critical reentrancy in Compound DEX,9.1,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_9,reentrancy,Critical,Aave,Proxy,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",631891.32,Critical reentrancy in Aave Proxy,9.1,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_10,reentrancy,Critical,SushiSwap,Governor,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",135564.99,Critical reentrancy in SushiSwap Governor,9.7,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_11,reentrancy,Critical,Uniswap,Strategy,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",234855.08,Critical reentrancy in Uniswap Strategy,9.0,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_12,reentrancy,Critical,Curve,Pool,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",809304.06,Critical reentrancy in Curve Pool,9.4,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_13,reentrancy,Critical,Aave,DEX,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",850006.86,Critical reentrancy in Aave DEX,9.3,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_14,reentrancy,Critical,Compound,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",249987.77,Critical reentrancy in Compound Vault,9.4,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_15,reentrancy,Critical,Curve,DEX,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",551781.66,Critical reentrancy in Curve DEX,9.4,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_16,reentrancy,Critical,SushiSwap,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",562775.47,Critical reentrancy in SushiSwap Vault,9.1,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_17,reentrancy,Critical,Yearn,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",602024.94,Critical reentrancy in Yearn Vault,9.7,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_18,reentrancy,Critical,Uniswap,Vault,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",556773.2,Critical reentrancy in Uniswap Vault,9.8,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_19,reentrancy,Critical,SushiSwap,DEX,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",633851.6,Critical reentrancy in SushiSwap DEX,9.6,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_20,reentrancy,Critical,MakerDAO,ERC20,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",895262.34,Critical reentrancy in MakerDAO ERC20,9.3,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_21,reentrancy,Critical,Uniswap,Strategy,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",347803.15,Critical reentrancy in Uniswap Strategy,9.4,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_22,reentrancy,Critical,Uniswap,DEX,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",175151.48,Critical reentrancy in Uniswap DEX,9.6,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_23,reentrancy,Critical,Aave,Vault,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",654018.96,Critical reentrancy in Aave Vault,9.0,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_24,reentrancy,Critical,Yearn,Pool,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",412271.46,Critical reentrancy in Yearn Pool,9.5,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_25,reentrancy,Critical,Uniswap,Pool,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",1006469.21,Critical reentrancy in Uniswap Pool,9.7,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_26,reentrancy,Critical,Yearn,Proxy,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",371707.89,Critical reentrancy in Yearn Proxy,9.1,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
sc_reentrancy_27,reentrancy,Critical,SushiSwap,Vault,"
function withdraw(uint256 amount) external {
    require(balances[msg.sender] >= amount);
    (bool success, ) = msg.sender.call{value: amount}("""");
    require(success);
    balances[msg.sender] -= amount;
}",475670.59,Critical reentrancy in SushiSwap Vault,9.3,6,209,1,0,1,0,2,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1
sc_reentrancy_28,reentrancy,Critical,Compound,Strategy,"
function emergencyWithdraw() external {
    uint256 balance = userBalances[msg.sender];
    payable(msg.sender).transfer(balance);
    userBalances[msg.sender] = 0;
}",459090.72,Critical reentrancy in Compound Strategy,10.0,5,167,1,0,1,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1
